level,traditional,pinyin,pos
3,習慣,xíguàn,N / Vs
3,當然,dāngrán,Adv
3,更,gèng,Adv
3,醫院,yīyuàn,N
3,公司,gōngsī,N
3,辦公室,bàngōngshì,N
3,工人,gōngrén,N
3,護士,hùshì,N
3,司機,sījī,N
3,老闆/老板,lăobăn,N
3,上班,shàngbān,V-sep
3,下班,xiàbān,V-sep
3,能力,nénglì,N
3,努力,nǔlì,Vs
3,準備,zhǔnbèi,V
3,打算,dăsuàn,Vaux
3,計畫/計劃,jìhuà,V / N
3,機會,jīhuì,N
3,如果,rúguŏ,Conj
3,小學,xiăoxué,N
3,高中,gāozhōng,N
3,上學,shàngxué,V-sep
3,開學,kāixué,Vp
3,班,bān,M / N
3,年級,niánjí,N
3,作業,zuòyè,N
3,成績,chéngjī,N
3,語言,yǔyán,N
3,華語/華文,huáyǔ/huáwén,N
3,黑板,hēibăn,N
3,課本,kèběn,N
3,字典,zìdiăn,N
3,注意,zhùyì,Vst
3,讀書,dúshū,V-sep
3,回答,huídá,V/N
3,答,dá,V
3,句,jù,M
3,圖,tú,N
3,部分(˙ㄈㄣ)/部份(˙ㄈㄣ),bùfen,Det / N
3,想法,xiăngfă,N
3,學習,xuéxí,V
3,練習,liànxí,V / N
3,參加,cānjiā,V
3,文化,wénhuà,N
3,認為,rènwéi,V
3,清楚,qīngchŭ,Vs
3,決定,juédìng,N / Vp
3,記得,jìde,Vst
3,忘,wàng,Vp
3,棒,bàng,Vs
3,行,xíng,Vs
3,行,háng,M
3,講,jiăng,V
3,加,jiā,V
3,算,suàn,V
3,交,jiāo,V
3,借,jiè,V
3,還,huán,V
3,辦法,bànfă,N
3,方法,fāngfă,N
3,有用,yŏuyòng,Vs
3,進步,jìnbù,Vp
3,圖書館,túshūguăn,N
3,洗手間/廁所,xĭshŏujiān/cèsuŏ,N
3,宿舍,sùshè,N
3,屋(子),wū(zi),N
3,間,jiān,M
3,大樓,dàlóu,N
3,樓上,lóushàng,N
3,樓下,lóuxià,N
3,樓梯,lóutī,N
3,電梯,diàntī,N
3,廚房,chúfáng,N
3,客廳,kètīng,N
3,窗(子)/窗戶(˙ㄏㄨ),chuāng(zi )/chuānghu,N
3,家具,jiājù,N
3,沙發,shāfā,N
3,盒/盒(子),hé/hézi,M / N
3,關,guān,V
3,燈,dēng,N
3,冷氣(機),lěngqì(jī),N
3,冰箱,bīngxiāng,N
3,台,tái,M
3,電,diàn,N
3,乾淨,gānjìng,Vs
3,房租,fángzū,N
3,租,zū,V
3,世界,shìjiè,N
3,火,huŏ,N
3,雪,xuě,N
3,下雪,xiàxuě,V-sep
3,地,dì,N
3,河,hé,N
3,湖,hú,N
3,馬,mă,N
3,鳥,niăo,N
3,貓,māo,N
3,狗,gŏu,N
3,海,hăi,N
3,草,căo,N
3,樹,shù,N
3,隻,zhī,M
3,長,zhăng,Vs
3,太陽,tàiyáng,N
3,洗,xĭ,V
3,洗澡,xĭzăo,V-sep
3,有空/有空兒,yŏukòng/yŏukòngr,Vs
3,發現,fāxiàn,Vp / N
3,餐,cān,N
3,搬,bān,V
3,掛,guà,V
3,脫,tuō,V
3,過年,guònián,Vi
3,新年,xīnnián,N
3,游泳,yóuyŏng,V-sep
3,跑/跑步,păo/păobù,Vi
3,踢,tī,V
3,足球,zúqiú,N
3,籃球,lánqiú,N
3,網球,wăngqiú,N
3,棒球,bàngqiú,N
3,比賽,bĭsài,Vi / N
3,開始,kāishĭ,Vp
3,騎,qí,V
3,腳踏車/自行車,jiăotàchē/zìxíngchē,N
3,上網,shàngwăng,V-sep
3,網路,wănglù,N
3,網站,wăngzhàn,N
3,報紙,bàozhĭ,N
3,次,cì,M
3,電影院,diànyĭngyuàn,N
3,部,bù,M
3,場,chăng,M
3,音樂,yīnyuè,N
3,票,piào,N
3,活動,huódòng,N
3,故事(˙ㄕ),gùshi,N
3,聊天/聊天兒,liáotiān/liáotiānr,V-sep
3,有時候(˙ㄏㄡ)/有時,yŏushíhou/yŏushí,Adv
3,平常,píngcháng,N
3,總是,zŏngshì,Adv
3,已經,yĭjīng,Adv
3,後來,hòulái,N
3,各,gè,Det
3,變,biàn,V
3,才,cái,Adv
3,客人,kèrén,N
3,客氣(˙ㄑㄧ),kèqi,Vs
3,不客氣,bùkèqì,
3,不好意思,bùhăoyìsi,
3,喂(ㄨㄟˊ),wéi,Ptc
3,喂,wèi,Ptc
3,麻煩(˙ㄈㄢ),máfan,N
3,禮物,lĭwù,N
3,歡迎,huānyíng,Vst
3,寄,jì,V
3,接,jiē,V
3,郵局,yóujú,N
3,銀行,yínháng,N
3,壞,huài,Vp
3,幫忙,bāngmáng,V-sep
3,幫助,bāngzhù,V
3,小朋友,xiăopéngyŏu,N
3,信,xìn,N
3,信封,xìnfēng,N
3,認識,rènshì,Vpt
3,最近,zuìjìn,Adv
3,聽說,tīngshuō,V
3,見面,jiànmiàn,V-sep
3,事情,shìqíng,N
3,幫,bāng,V
3,錢包,qiánbāo,N
3,拉,lā,V
3,啊,ā,Ptc
3,怎麼辦,zěnmebàn,
3,車站,chēzhàn,N
3,汽車,qìchē,N
3,飛機場/機場,fēijīchăng/jīchăng,N
3,馬路,mălù,N
3,路口,lùkŏu,N
3,十字路口,shízìlùkŏu,N
3,對面,duìmiàn,N
